sex,age,tacit_X1.digtuber_bin,tacit_X2.firewood_bin,tacit_X3.bow_sum,tacit_X5.pound_bin,tacit_X6.butcher_bin,tacit_X7.pegs_bin,tacit_X9.baobabstick_bin,tacit_X10.kasha_bin,tacit_X13.honey_sum,tacit_X14.diggingstick_bin,tacit_X16.poison_bin,tacit_X20.bow_bin,tacit_X21.arrow_bin,tacit_X22.honeyguide_bin,explicit_plant_sum,explicit_animal_sum,honey_total,honey_offset,hunting_total,hunting_offset,collect_total,collect_offset,cooking_total,cooking_offset,explicit_total,explicit_offset,culture,ID
0,9,1,1,0,1,0,0,1,1,0,1,0,0,0,0,5,2,0,9,0,26,3,3,3,4,7,22,Hadza,12138
1,25,0,1,5,0,1,1,1,0,5,0,1,1,1,1,4,11,7,9,8,26,1,3,2,4,15,22,Hadza,12139
0,55,1,1,0,1,0,0,1,1,1,1,0,0,0,1,7,5,2,9,0,26,3,3,3,4,12,22,Hadza,12145
1,55,1,1,10,1,1,1,1,1,4,1,1,1,1,1,3,11,6,9,13,26,3,3,4,4,14,22,Hadza,12146
1,35,1,1,6,0,1,1,1,1,4,1,1,1,1,1,7,11,6,9,9,26,3,3,3,4,18,22,Hadza,12147
0,45,1,1,0,1,0,0,0,1,4,1,0,0,0,1,7,10,5,9,0,26,2,3,3,4,17,22,Hadza,12148
1,45,1,1,4,1,1,1,1,1,3,1,1,1,1,1,4,13,5,9,7,26,3,3,4,4,17,22,Hadza,12149
0,35,1,1,0,1,1,0,1,1,1,1,0,0,0,1,5,12,2,9,0,26,3,3,4,4,17,22,Hadza,12150
1,35,1,1,7,0,NA,1,1,1,3,1,1,1,1,1,6,13,5,9,10,26,3,3,2,3,19,22,Hadza,12151
1,45,1,1,7,1,1,1,1,1,6,1,1,1,1,1,7,12,8,9,10,26,3,3,4,4,19,22,Hadza,12157
0,35,1,1,0,1,0,0,0,1,0,1,0,0,0,0,6,7,0,9,0,26,2,3,3,4,13,22,Hadza,12158
0,13,1,1,0,1,0,0,0,1,0,1,0,0,0,1,4,4,1,9,0,26,2,3,3,4,8,22,Hadza,12159
0,6,1,1,0,1,1,0,1,1,1,1,0,0,0,1,6,7,2,9,0,26,3,3,4,4,13,22,Hadza,12161
0,19,1,1,0,1,0,0,1,1,0,1,0,0,0,0,4,2,0,9,0,26,3,3,3,4,6,22,Hadza,12163
0,35,1,1,0,1,0,0,1,1,0,1,0,0,0,0,6,12,0,9,0,26,3,3,3,4,18,22,Hadza,12164
0,35,1,1,0,1,0,0,1,1,4,1,0,0,0,1,5,6,5,9,0,26,3,3,3,4,11,22,Hadza,12165
