ID,age,sex,X1.hole_bin_collect,X2.smalltree_bin_collect,X3.bigtree_bin_honey,X4.basket_collect,X5.smokytorch_honey,6.doka_fishing,X7.firewood_cooking,X8.fishtrap_fishing,_X9.gun_hunting,X10.spear_hunting,X11.koko_cooking,X12.jabuka_cooking,X13.mbila_cooking,X14.butcheranimal_cooking,X15.butcherfish_cooking,X16.fishpoison_fishing,X17.nethunt_hunting,X18.climbigtree_honey,X20.pendi_honey,X21.garden_collect,X23.kombi_fishing,X19.traps_hunting,X4.basketvine_explicit,X18.climbingvine_explicit,X24.honey_sum,animal_sum_explicit,plant_sum_explicit,bin_max,collect_total,collect_offset,hunting_total,hunting_offset,honey_total,offset_honey,cooking_total,offset_cooking,explicit_total,offset_explicit,culture
1110,45,1,1,1,1,1,1,1,1,0,11,5,1,0,1,1,1,1,1,1,1,1,1,7,3,6,6,10,8,19,7,8,24,45,10,15,5,6,27,40,BaYaka
1111,65,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,3,3,6,7,8,19,7,8,1,45,8,15,6,6,21,40,BaYaka
1112,35,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,2,3,5,8,11,19,8,8,1,45,6,15,6,6,24,40,BaYaka
1113,35,1,1,1,1,1,1,1,1,1,9,5,1,1,1,1,1,1,1,1,1,1,1,6,3,9,8,14,10,19,8,8,21,45,12,15,6,6,36,40,BaYaka
1114,35,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,3,4,3,8,11,19,8,8,0,45,4,15,6,6,26,40,BaYaka
1115,65,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,3,4,3,6,6,9,19,8,8,4,45,8,15,6,6,22,40,BaYaka
1116,35,0,1,1,1,1,1,1,1,1,0,3,1,1,1,1,1,1,0,0,1,1,1,4,2,5,5,7,8,19,8,8,7,45,8,15,6,6,22,40,BaYaka
1117,55,1,1,1,1,1,1,1,1,1,11,7,1,1,1,1,1,1,1,1,1,1,1,7,2,6,8,12,9,19,8,8,26,45,12,15,6,6,29,40,BaYaka
1118,55,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,3,3,3,7,3,9,19,8,8,4,45,9,15,6,6,18,40,BaYaka
1119,25,1,1,1,1,0,1,1,1,0,6,4,1,0,1,1,1,1,1,1,1,1,1,5,2,4,4,8,9,19,6,8,16,45,8,15,5,6,23,40,BaYaka
